,tic,gsector
3687868,CIM.PA,40.0
1137873,RAFI,40.0
3123165,NNWS,25.0
1228999,CFMS,35.0
2483781,SRPX,25.0
944725,BMPAF,15.0
856940,IPRSF,45.0
1053015,DERM,35.0
4356761,WLMIY,30.0
382961,AMAG,35.0
3345563,GADS,60.0
381200,RGEN,35.0
1113762,RELI,40.0
3211317,NUVM,30.0
48585,BAM.PR.R,40.0
481775,TA.PR.F,55.0
2137282,LPTH,45.0
4395222,GTOMY,45.0
2769864,DBO.,25.0
97757,TZPC,25.0
771648,CWEN,55.0
2027370,KHRN.,35.0
4443318,HLOUF,25.0
1308396,FINL,25.0
820109,FFMR,40.0
3995830,TGGI,20.0
4109761,OXLC,40.0
4417136,COG.,15.0
2831477,EQIX,60.0
470809,FRC.PF,40.0
158002,PNK,25.0
4032436,CATG,25.0
1731862,HEXO.WT,35.0
278311,ROST,25.0
2159889,ULGX,35.0
303098,PSA.PC,60.0
2463779,GWRRF,15.0
2977727,CLRYF,45.0
1582700,TBL.,20.0
2593712,AMKR,45.0
2629025,CVG,45.0
137077,GPS,25.0
3276187,ZIOP,35.0
464482,YYYH,45.0
3254378,GLPT,40.0
4305723,PEXNY,10.0
1293429,MHK,25.0
1760530,PTGED,35.0
4278204,KSSRF,15.0
1645365,TNTHF,40.0
3325295,AXU,20.0
2284854,ENHT,45.0
2424079,DNAG,35.0
4171130,PCNT,10.0
4074911,LVNSF,45.0
2729517,OECCF,10.0
763507,FBAK,40.0
623439,ELF.PR.F,40.0
50095,BAM.PF.C,40.0
1213433,PSB.PW,60.0
2958124,UNXLQ,45.0
1521390,CHKAQ,10.0
4425362,PRYMY,20.0
2750479,SAHN,45.0
3899386,GTSO,20.0
3636147,BTI.,35.0
2041058,BJ,30.0
2220571,XPLR,45.0
1144749,VERU,30.0
1540292,ALG,20.0
3082503,BWLD,25.0
953086,CBL.,40.0
606529,WLF.,15.0
2973889,NNDIF,15.0
2393119,CX,15.0
492575,PCFO,60.0
176129,ENB.PR.F,10.0
2045392,VIVC,25.0
147453,GEF,15.0
3142125,MCTYF,45.0
4287830,EBR,55.0
2361863,CKHUY,20.0
1366473,ANDAR.,25.0
2338317,AMDLY,20.0
894532,UNIEF,25.0
144942,GRA,15.0
3272539,DMG.H,35.0
1795847,TRK,25.0
2674205,EWBC,40.0
191431,LNCE,30.0
3796919,CNRMF,15.0
561392,CRZBY,40.0
956540,ARES,40.0
545924,NCC.A,50.0
105333,OMC,50.0
4461579,AXL.,10.0
3622960,VDO.H,15.0
4034409,EL.,45.0
2903200,JE.PA,55.0
4202738,SRC.,15.0
2082301,CVB.,15.0
2105318,MYGN,35.0
2253072,ROBK,25.0
712118,RZLT,35.0
2333047,KPELY,20.0
2096174,SHO,60.0
3706672,MYND,35.0
1255,ASA,40.0
2474404,LGQ.,40.0
2645766,AQN.PR.A,55.0
2571010,TWC.,25.0
4372655,INCZY,15.0
3512877,KNDI,25.0
2828870,DGEN,35.0
