,tic,gsector
3004168,NRP,10.0
3637453,BESNQ,20.0
2872183,GRMN,25.0
2569338,BITK.,45.0
259819,PLP.Z,10.0
2267184,SFRFF,15.0
4424717,SMFKY,15.0
3085652,VST,55.0
1153354,FFXDF,40.0
1755743,BRAG.,50.0
231078,NR,10.0
2073871,FVTI,25.0
2359855,TISCY,20.0
3312085,MAMS,45.0
654882,CIA,40.0
304102,NAVI,40.0
828476,DLNG.PA,10.0
3879768,AXY.,55.0
3353025,SDC.,15.0
710537,AMH.PE,60.0
3858384,CDC.,15.0
2915563,NVT.,15.0
2090460,BNCC,40.0
284249,SCPJ,30.0
1253295,CMWAY,40.0
2114477,E,10.0
246694,OXM,25.0
466243,VTGGF,10.0
3330812,ASTI,45.0
1091394,DII.A,25.0
1582421,PZZA,25.0
1546621,FFWC,40.0
1092398,MCF,10.0
2546763,TEN.,15.0
4238827,CAT.,15.0
3808235,AVU.,15.0
2806595,CBYI,60.0
738450,PSXP,10.0
2906599,NVCN.,35.0
339539,VFC,25.0
2036425,GTBIF,35.0
451486,TVAGF,50.0
3414331,PGTI,20.0
1159723,UNIT,60.0
4432094,POLJF,10.0
654077,ORFDF,15.0
2191894,DGRI,35.0
899592,QUOT,25.0
4347539,GRAM,20.0
2348686,SWRBY,60.0
19315,NBR,10.0
2020074,SMTTF,15.0
4078705,CTPR,20.0
301843,PSA.PY,60.0
3926374,BARZ,45.0
343679,VNO.PI,60.0
3894820,MSAH,30.0
1596531,PFC,40.0
3069288,ALIAF,15.0
295180,SWN,10.0
1614501,SQM,15.0
3084648,AHL.PD,40.0
904483,CURM,50.0
3152152,BCML,40.0
1230517,FSV,60.0
3192637,NVNT,45.0
2786724,HSTM,35.0
1545045,BANF,40.0
1600896,ATRM,20.0
4454561,STBFY,30.0
2647468,NVRVF,45.0
3886074,SCFFF,25.0
2553167,DVNGF,10.0
1563056,ATR,15.0
2120297,MGLG,20.0
3023792,RNGG,15.0
2742521,IDN,45.0
3420889,HKRWQ,10.0
2189704,WTFCW,40.0
1118534,DCDC,25.0
4296813,LRENY,25.0
354645,JAX,25.0
4047264,FPC.,15.0
651973,KPT.,30.0
2450014,MESNF,10.0
521758,UNC.PR.A,40.0
3045666,CBCY,40.0
3025045,TLKGY,50.0
2155464,JAKK,25.0
404866,PARS,35.0
463478,CYBE,45.0
2017960,USAC,10.0
4227918,BCOV,45.0
167519,IMO.,10.0
4401230,AIRYY,20.0
2250701,ESVFF,45.0
3534034,DEVM,60.0
4378116,CPH.,35.0
3359774,ZNDX,45.0
3173370,OHAI,40.0
2926337,XPO,20.0
3150884,DLR.PI,60.0
305826,STI.WA,40.0
2696237,GEC,40.0
835918,CSOC.A,40.0
1313846,SBUX,25.0
3849026,BOY.,20.0
2966347,GSDC,15.0
2319757,GBNW,25.0
873503,ADVZ.,35.0
495106,PARDP,35.0
3280490,PMN.,35.0
1059124,FSAM,40.0
332020,UNP,20.0
347617,WXMN,25.0
3063360,AHT.PH,60.0
2472452,ENGFF,10.0
3382606,LEM.,15.0
2038553,RPAY,45.0
92863,CRD.A,40.0
3075087,TACI,40.0
820862,ESBA,60.0
74422,EAT,25.0
3093805,MCHX,50.0
1979806,GSTX,15.0
2686936,CZBS,40.0
856186,SMLR,35.0
4241752,EVTI,50.0
2816249,DLA,25.0
2593963,EXMT,50.0
1083264,ART.,45.0
2301625,LCNB,40.0
86998,CTWS,55.0
3122255,STXS,35.0
2576337,VAX.,15.0
2222495,ANXGF,15.0
3562130,WMK.,10.0
4102031,MJMD.1,35.0
323659,TCANF,10.0
2524700,NWIN,40.0
203048,MRO,10.0
458962,CCL.B,15.0
2924275,VGL.,35.0
3385890,SNIPF,50.0
43066,NIMU,35.0
2519772,SBW.,15.0
3686262,NFBK,40.0
926824,ALDX,35.0
1604985,BFS.PC,60.0
3058293,WLL,10.0
4353548,GZTGF,60.0
271891,RAVN,20.0
4217328,CVSI,30.0
3662489,SLRK,40.0
386476,LAGR,25.0
2028416,NRCG,20.0
2783397,ALSWF,45.0
90434,TAP.Z,30.0
1187878,RTTR,35.0
230575,NWL,25.0
2440315,NGD,15.0
3697221,SLSDF,15.0
271640,USLM,15.0
310845,TECK.B,15.0
237055,WFC.WS,40.0
3650560,CQE.,10.0
130405,USB.PA,40.0
3497151,BHPA,60.0
452993,SCHW.PC,40.0
3044408,SPHS,35.0
4128677,QMCQF,15.0
2430666,XL.,10.0
3994210,TXLZF,10.0
2822341,IEVM,20.0
4425864,SLCJY,30.0
4414524,VELTF,45.0
2451028,TSKFF,15.0
2950808,BKFG,40.0
575493,PWF.PR.Q,40.0
1317870,LX.H,15.0
1297995,RNST,40.0
394545,HHS,50.0
3970852,HALN,40.0
1380367,SIL.,15.0
3410157,PHIOW,35.0
2482334,IDH.,25.0
2542267,QILFF,40.0
3599874,MBCI,35.0
209324,INVI,45.0
1490663,LN,50.0
1715302,HMNF,40.0
579341,RY,40.0
3302044,CPA,20.0
1294684,ASUR,45.0
2820007,SAVA,35.0
3478952,AMK.V,15.0
4273227,CTXIF,25.0
2215392,HABK,40.0
2261325,AMEN,10.0
1260646,DC.PR.D,60.0
219202,MOG.B,20.0
2545257,HOC.,10.0
449478,GBCS,60.0
944176,DNOW,20.0
3880799,TAPM,50.0
1773405,RLLMF,60.0
2321320,ABK.A,40.0
1089382,EVIO,35.0
2277810,UNV.,15.0
4109508,GMEI,10.0
2038785,EVER,50.0
1622504,ADGO,45.0
3927880,POAI,35.0
1005769,SHLX,10.0
4219336,AHFD,30.0
895067,OXBRW,40.0
3071304,GBLI,40.0
2575650,JSDA,30.0
382208,CY,45.0
1050526,CIVB,40.0
446209,RMK.,15.0
759240,LGNC,15.0
3049433,GOODP,60.0
3875474,CPX.PR.I,55.0
3095078,CRM,45.0
2705847,ALA.,55.0
3293459,CHAP,10.0
308335,TTDKY,45.0
3589381,SMY.,15.0
994127,TIMNF,15.0
3340587,OISDF,10.0
18191,AXR,20.0
2811119,CHU,50.0
4440638,SBBP,35.0
3760471,OCLN,20.0
2153958,UNDR,20.0
2239605,NWFFF,15.0
2357847,KRYAY,30.0
1528328,AGN,35.0
2144675,PRLO,25.0
1197219,DUOT,45.0
37279,BCE.PR.Z,50.0
364655,LCII,25.0
1037046,GNBC,40.0
3662238,HAFG,50.0
330554,UNF,20.0
3108263,AX.UN,60.0
4444887,ALGXY,35.0
1903500,SOGO,50.0
1899246,OSW,25.0
604996,SDLPF,10.0
755315,LWLW,45.0
1056834,ROE.,10.0
840013,NACB,40.0
3178886,LAT.,15.0
806286,TRXC,35.0
536234,FMCC,40.0
2589144,LBAI,40.0
1775071,NVUS,35.0
4189467,GBNXF,10.0
2168038,TRQ,15.0
3625072,PWM.,15.0
3334614,TAGG,10.0
347868,WRI,60.0
3819678,DMRC,45.0
3739395,FLPC,15.0
2609826,SKAS,20.0
4406541,NOVKY,10.0
2829389,CRNT,45.0
4303893,SID,15.0
4458592,NYX.,25.0
3000263,NGS,10.0
3887251,TXMD,35.0
3132311,IRG.,25.0
55872,WNMLA,40.0
1800603,HIP.,35.0
2266093,BRYN,25.0
1098334,NMRD,35.0
191740,LLND,40.0
629655,GWO.PR.O,40.0
4361100,AAM.,15.0
3651513,SRGZ,15.0
40556,BCE.PR.O,50.0
60900,CAMP,45.0
544920,AKZOY,15.0
766030,WTER.,30.0
2015260,LASR,45.0
2981181,CSBI,25.0
3217919,EGKPF,20.0
92361,CR,20.0
4355769,IDEXY,25.0
4041114,LZENF,25.0
4197899,CRYO,35.0
42815,BIO.B,35.0
967032,ABSSF,15.0
1384664,ABML,15.0
1359849,NBRV,35.0
1994910,AWSM,25.0
4431843,MIXT,45.0
2145970,TLCVF,35.0
4082166,TOU.,10.0
39801,BCEXF,50.0
408633,STNX,25.0
2091213,HABC,40.0
2484052,GVXNF.1,15.0
173987,IP,15.0
383966,WERN,20.0
261078,PIPR,40.0
1189511,OPRX,35.0
333024,UG,30.0
4092942,SNCGF,15.0
1009788,HSM.,35.0
928330,TEDU,25.0
2511859,GPM.,15.0
2613820,CTSH,45.0
357682,YORW,55.0
266612,POW.PR.G,40.0
775847,BUSE,40.0
2378162,TBLMY,30.0
2934594,CREG,20.0
2501165,EDR.,15.0
3208479,VQSLF,45.0
3728916,KBLB,15.0
2731388,JCDAF,45.0
393290,CLFD,45.0
4173353,LSSCF,15.0
2238852,GLBZ,40.0
4220749,NZN.,15.0
4078998,YMI.,15.0
2098971,LTEC,25.0
693841,KNOP,10.0
877191,EMAV,25.0
4246439,XELB,25.0
715233,HMTV,50.0
2833935,SRRE,60.0
867631,CRLFF,10.0
3659613,OMTK,25.0
3866736,GNRV,40.0
1359598,PEN,35.0
1040803,ZAYO,50.0
2191392,SSINQ,25.0
3847771,DDDX,20.0
4338615,MTENY,50.0
4065292,CMRE,20.0
1749486,LLBO,35.0
344941,WDFC,30.0
2353201,SOMMY,15.0
1014571,RMBL,25.0
1885759,REDU,25.0
1630295,BTE.,10.0
2834186,PNNX,30.0
478498,MAN,20.0
1680739,SNLC,40.0
4418307,FN.PR.B,40.0
2478266,HLTOY,50.0
228724,SOMA.,15.0
708928,EMESQ,10.0
2249942,SNNJF,15.0
1445742,VXL.,35.0
2909198,AAXN,20.0
2494565,GSR.,15.0
4027928,TSGI.,25.0
3343290,JGWEQ,40.0
2815740,EXFO,45.0
2441146,APDNW,45.0
13312,ECOL,20.0
2350693,TAIPY,35.0
879876,RVV.,35.0
3729425,BLSP,55.0
3062858,AHT.PF,60.0
2093221,CICN,45.0
1225933,GNL.PA,60.0
2722270,SWKH,40.0
2394809,WP.,40.0
3115551,GSIT,45.0
1491923,KEW.,50.0
4043575,KOR.,15.0
2347180,RYCEY,20.0
2824874,ILMN,35.0
2482836,ICLTF,40.0
592860,TD.PF.F,40.0
3641779,RBMNF,15.0
2578461,VPI.,30.0
658396,FBPRL,40.0
2727005,DHC,60.0
1242632,MNST,30.0
3233020,SAHRF,10.0
583336,RY.PR.M,40.0
2283102,CNGG,10.0
979256,AMPH,35.0
2811862,BLU,35.0
247196,PHH,40.0
1782290,JUVF,40.0
683553,THRA,25.0
225168,NL,20.0
1243560,IBGR,25.0
3768905,ALXEF,15.0
1449015,LEXEA,25.0
2361110,KNYJY,20.0
4403489,BNNLF,10.0
124890,FSS,20.0
420441,ICAGY,20.0
2356592,KGFHY,25.0
3963365,SLRC,40.0
3419092,JTBK,35.0
2535718,EXSFF,15.0
1616902,MAR,25.0
1890441,OZSC,35.0
3623179,DEELD,25.0
1353323,FCBC,40.0
3567385,ABCD,25.0
2536324,SPE.,10.0
3973111,RIVVF,15.0
3137613,FNKLF,15.0
3047432,INE.PR.A,55.0
2070918,CNF,40.0
2659196,GGLR,10.0
3744747,CNOBF,15.0
263337,IPDN,50.0
3485411,KED,40.0
1386354,BSRAF,15.0
2535969,EXS.,15.0
1317795,DYN.WA,55.0
1609637,FTEK,20.0
605808,RNP.,40.0
1850963,CDBMF,15.0
2047941,PT,40.0
2111716,TLK,50.0
2187193,HCBN,40.0
3721610,MLGCF,15.0
1402708,TGIFF,35.0
264604,PWCDF,40.0
4376751,OPTT,20.0
2575901,PHBR,50.0
1771502,KREF,40.0
3590438,APRRF,55.0
3568943,BLQN,20.0
1063140,VGGOF,45.0
45046,RFP,15.0
627894,GWO.PR.F,40.0
830535,VCYT,35.0
4316656,FRCOY,25.0
3349225,YWRLF,15.0
4092139,NUG.,15.0
1206505,JADSF,10.0
2254330,VTSI,20.0
1746646,CZR.,10.0
664108,OFG,40.0
2252060,AEHR,45.0
3812267,VIDA,50.0
2069873,TC,50.0
96999,MDEA,45.0
200789,PALDF,15.0
749412,NWS,50.0
3806980,QNC.,45.0
2911474,OPCO,25.0
2800030,SPOWF,10.0
3098418,DYAI,35.0
2640546,GS.PJ,40.0
1470001,PLSE,35.0
1783026,MNPP,60.0
1835264,YOGA,25.0
485289,CDUAF,55.0
591856,TD.PF.B,40.0
2683356,BKNG,25.0
969291,ETFM,50.0
1988851,DLI.,15.0
2973948,NIF.UN,15.0
3090173,PNXLF,15.0
2940518,CPG,10.0
85075,DXC,45.0
3477797,KXPLF,15.0
1122233,HRZCA,50.0
3697974,AMCO,20.0
2698782,ABLE,10.0
941666,ERF,10.0
3403618,MNARF,60.0
2707608,TWSI,30.0
3064225,OMQS,45.0
2168791,JMDP,60.0
2568081,BRMWF,30.0
3334050,UCU.,15.0
1784305,ATNX,35.0
2276360,NOVC,35.0
3044913,BYLB,40.0
2474403,AHFCF.,40.0
1858997,CEIX,10.0
17504,AMTA,20.0
2706353,ALA.PR.E,55.0
1250938,TSCC,45.0
2565930,FDHC,40.0
1628765,PAT.WT.C,20.0
3913767,GNRC,20.0
3966897,VRZPF.,15.0
3816205,AU.,15.0
3083895,ISBA,40.0
3323008,GDP.,15.0
2078935,ICNAF,30.0
675621,ACRVF,60.0
3057038,GS.PC,40.0
2033555,IIIV,45.0
331789,UNG.PR.D,10.0
3587861,IFAM,15.0
1121229,BZYR,35.0
95995,WEN,25.0
678183,ISEYF,45.0
2172022,CPKF,40.0
680655,AAP.H,25.0
2116234,QOWI,45.0
4375165,PPAAY,55.0
1835515,CLXT,35.0
387955,RDS.B,10.0
3963616,CFGMF,15.0
2050682,AUMB.,15.0
3897777,SNRR,20.0
1199478,FENX,25.0
3304063,HVGDF,15.0
1520130,SITC,60.0
2707357,DBRM,10.0
1724725,TMRC,15.0
2433252,NSVLF,15.0
267114,PDNLA,60.0
3690837,STSN,30.0
231832,NOBH,25.0
3074585,IVDN,25.0
3176786,DTRC,15.0
38044,BCE.PR.H,50.0
972097,CKZ.H,10.0
3030071,RBX.,15.0
2242664,OZK,40.0
518420,KLOC,25.0
2156549,AOMOY,55.0
1798385,SOSO,45.0
2630985,CNDD,20.0
1357694,AKTAF,10.0
1359347,RGNX,35.0
2292161,ROI.,45.0
168772,ISOL,45.0
2523910,NDMWF,15.0
2397577,AVDWF,25.0
1981021,VXRT,35.0
2069394,ACI.,55.0
3608843,SVB.,15.0
1779810,ACGJ,35.0
945168,WBR.,30.0
734971,VII.,10.0
4222757,BOPO,10.0
3945029,CLPT,35.0
4439885,KBLT.,15.0
2156042,TREP,20.0
1563558,ORLY,25.0
296193,SPIR,45.0
3349309,DG.,15.0
2369894,PDRDY,30.0
1897238,FAT,25.0
1253546,VTVT,35.0
4451115,CHRYY,50.0
3766137,ECHO,20.0
3973949,AMPE,35.0
2035777,XERS,35.0
3483318,INFI,35.0
3274992,PSMH,40.0
3452165,CBPO,35.0
580350,RY.PI,40.0
535732,FTSSF,15.0
2706604,ALA.PR.G,55.0
1749182,SCEYF,10.0
436869,RBTI,35.0
4336384,CSLLY,35.0
3482816,HPIL,40.0
3366826,FELPQ,10.0
338786,UHID,35.0
2894669,MND.,15.0
4353297,CMPGY,25.0
4284316,CELTF,15.0
361640,QLYS,45.0
1088880,TIL.,40.0
202797,MAPL,25.0
3017535,PLGC,50.0
3395974,FONU,50.0
3301040,NCTW,30.0
4426868,FTEO,45.0
2529107,OSKGF,15.0
1623006,BOPT,10.0
1677997,FMNB,40.0
3815709,LBC.,15.0
2672698,AUP.,35.0
2742017,EXER,10.0
1324251,BRBMF,30.0
3071806,LSKA,45.0
3853609,BVTK,45.0
254546,PPL,55.0
3433928,TRVR,40.0
887988,JSAIY,30.0
3049935,GOODM,60.0
1667297,LYL,40.0
1245463,CCJ,10.0
2907855,TWFH,25.0
1603406,MHGI,25.0
3645802,SSL.,15.0
4315903,CJPRY,20.0
3811227,ATAR,25.0
4020079,LINUF,25.0
2566181,SVSA,60.0
46557,BAM.A,40.0
726363,LITB,25.0
2684360,EBYH,10.0
2699043,MVRM,10.0
2516231,TITUF,15.0
4157192,CLRBZ,35.0
2630734,CCI.PA,60.0
3729932,IRSB,35.0
1983375,FZMD,35.0
3041747,IOT.,35.0
798277,QTS.PB,60.0
3920578,CVE.,10.0
3522137,DCT,60.0
878370,RVNC,35.0
4458590,NXXYF,25.0
630165,GWO.PR.Q,40.0
2078148,NBGV,35.0
4117538,SLCO,15.0
4312890,NGG,55.0
2530376,NSUPF,15.0
3147366,GRCU,30.0
2354205,SHCAY,25.0
3124596,CLWA,45.0
2041299,RUBY,35.0
429357,NWBD,45.0
3473833,PG.,15.0
3619434,JAX.,15.0
3151898,UBAB,40.0
391031,HCR,10.0
298734,STT.PD,40.0
316369,TPL,10.0
1763490,STM,45.0
2001763,CANX,60.0
2378881,HMY,15.0
974641,NWIFF,15.0
3033371,MVLY,40.0
1480866,SELB,35.0
1323498,EDTXF,35.0
4019326,MNRLF,15.0
2380638,KGSPY,20.0
2430917,DMIFF,15.0
2914719,SFMI,15.0
74924,CHDN,25.0
3655086,RDAR,45.0
2443119,NRIFF,35.0
2487626,CVV.,10.0
3566025,GTXO,25.0
809364,VEEV,35.0
4419757,XTMCF,10.0
1789273,BDVB,25.0
4427119,MRRTY,30.0
570454,AEH,40.0
1863360,HJLI,35.0
2258385,YUM,25.0
366705,MTLQU,40.0
800278,FROT,10.0
1938953,AKU.,35.0
2127982,HLND,40.0
478247,USM,50.0
847499,NTWB,40.0
310343,SSY,35.0
529625,RPT,60.0
1327442,AVTI,35.0
282079,SJT,10.0
446962,CBM,35.0
4051501,SFUN,50.0
2895422,RPDT,45.0
956791,ARES.PA,40.0
3387145,CURN,40.0
1758002,IPCFF,10.0
738701,SFM,30.0
4268293,PBAM,40.0
2436218,CDDRF,10.0
632173,AGESY,40.0
4330359,JASMY,50.0
4114089,GBHPF,30.0
4056722,PCTZF,15.0
1632990,MACE,45.0
590887,TD.PS,40.0
3730936,PSRU,50.0
1077468,DM,10.0
434359,WSCRF,15.0
2881487,RCCMF,15.0
1237303,AES,55.0
1792273,YRI.,15.0
916188,WTBDY,25.0
862124,CHC.,60.0
4229175,BV.1,45.0
4445388,VLRS,20.0
2499375,BRYFF,20.0
4384490,ERDCF,15.0
3218988,PNE.,10.0
868130,MSNVF,20.0
4100403,SUPN,35.0
1202336,SHOP.,45.0
1425701,OTLKW,35.0
3186546,FRLI,35.0
2576935,ZUMRF,50.0
43317,BSYN,45.0
3453434,SCAY,40.0
639449,BLM.,20.0
3010643,TWIRF,15.0
2142625,IMG.,15.0
3435856,WYND,25.0
1814611,DLPH,25.0
4381681,SAN.PC.1,40.0
1430680,BEWFF,45.0
2856572,DCNPF.1,15.0
1358024,AKT.B,10.0
2652349,PVNO,40.0
1632488,NSTM,35.0
4320657,EBKDY,40.0
988758,TNSTF,55.0
1415427,ABILF,20.0
459971,CADNF,15.0
3890785,WIL.,10.0
844066,MENXF,45.0
1140494,CC,15.0
1350801,CKH,10.0
2392367,FYRTY,30.0
3009907,RTU.UN,40.0
2861686,CLIRF,55.0
1711357,LPT,60.0
939391,GLOP.PA,10.0
1052764,GWB,40.0
2211833,SELF,60.0
2341909,FNEVY,30.0
289018,PVSP,50.0
2037354,EPRT,60.0
4442395,SAMMF,15.0
4069274,PNYTF,45.0
2059267,NIO,25.0
1748429,MTL.,20.0
3193678,NM.PG,20.0
2857360,CSFSF,40.0
4458339,MTP,35.0
150468,HSC,20.0
4154726,ARSMF,15.0
443383,VIACA,50.0
3817260,LPIH,10.0
2956848,ADD.,15.0
3663744,KGL.,15.0
862626,FUU.,10.0
2607762,ARPC,25.0
2883907,SNTZ,20.0
1029092,CFRX,35.0
2284603,GEOS,10.0
4351540,SPXCY,40.0
2900681,EAIAF,15.0
2074382,VOTI.,45.0
2228464,ARE.PD,60.0
924078,ATG.H,15.0
3061350,TXTM,35.0
2015432,GSHD,40.0
1209164,GENE.,35.0
609532,ABBV,35.0
3582088,DRWIQ,45.0
1208160,IINX,45.0
4338364,JAPAY,30.0
846485,APTY,45.0
3922599,COIN.,40.0
1467111,NLH.,35.0
3895573,MAXD,45.0
890267,EGDW,40.0
4092390,PLFF,60.0
342053,VIRC,20.0
154986,HP,10.0
2079083,ISOLF,35.0
4072434,GBR.,15.0
384468,ISHI,25.0
2098218,BREW,30.0
2725533,MFC.PR.M,40.0
2964078,MDLH,35.0
3417698,AQA.,15.0
3793682,GLKIF,15.0
2135525,TGC,10.0
3558208,BLIN,45.0
1456076,ENIC,55.0
2025583,EVOP,45.0
2223253,IMLFF,35.0
1392736,TEAM,45.0
3217417,EVRI,25.0
1995948,RDVT,20.0
1284538,ELY,25.0
3777658,BKJ,40.0
4130883,ELRA,25.0
2880383,MLHC,30.0
881382,IBP,25.0
606947,JPEX,20.0
3859388,HI.,15.0
2544281,REGRF.1,25.0
2495058,PXX.,10.0
3874721,CPX.PR.C,55.0
3673262,KALO,35.0
2999008,OVIT,35.0
2507502,STKXF,15.0
3583347,PTV.H,10.0
821866,MAKSY,25.0
2536814,CMLGF,15.0
2581774,WPRT,20.0
331558,UNG.PR.C,10.0
3556631,TMI.B,15.0
2732410,PLSDF,10.0
1509347,MULG,15.0
2166529,ACLH,20.0
1955630,BYZN,45.0
971583,TAHEF,15.0
831790,OPHI,15.0
3250445,DISCB,50.0
2170803,CXIA,20.0
2485628,ITKG,15.0
1225388,NNWWF,30.0
2182906,AEZS.,35.0
3650309,CEQXF,10.0
1289011,ARCTF,15.0
2627803,VSYM,45.0
3504141,ATHX,35.0
1805445,ABC,35.0
2761,ACETQ,35.0
841510,WBAI,25.0
1567840,TPIL,20.0
473715,ICPT,35.0
2608013,FNHM,40.0
4202345,OAK.PB,40.0
518676,ACAVF,20.0
1628293,PAT.WT.A,20.0
3199345,DOOO,25.0
3131998,VSPC,20.0
2284077,AFMCF,15.0
3521450,ALIN.PE,10.0
3331063,ARGL,45.0
2781887,SLF.PR.H,40.0
3260693,CSM.,10.0
1099087,ESGI,15.0
430820,OPY.Z,40.0
2554196,ALTA.,15.0
2850932,TEM.,15.0
4067529,SFBE,20.0
2846753,TEL.,50.0
3704393,FIBCF,15.0
108596,EML,20.0
875009,PHX,10.0
4127955,NLNK,35.0
2393370,WMMVY,30.0
797068,ICOA,50.0
1117722,ELRE,50.0
2451529,EXLLF,15.0
3154498,SLXXF,45.0
4279260,RNBI,15.0
1192410,GDNP.,15.0
2865937,AMMX,20.0
1108425,HSGX,35.0
3121251,WTI,10.0
4179106,VDPH,45.0
3756583,NX,20.0
4178905,MSR.,15.0
1555045,TELO.,35.0
2372408,UPM,15.0
3395719,DAKPQ,10.0
33498,BRCOQ,10.0
3940697,VRSEF,35.0
4013557,CRMBQ,30.0
1812776,ISNS,45.0
470560,FRC.PE,40.0
3719623,IFXY,45.0
4002207,QEBR,35.0
1267418,TXSP,25.0
4014059,GSV,15.0
1014822,SPRS,45.0
1251440,MSGS,50.0
4278758,RAK.,15.0
2778597,IFNNY,45.0
276417,ROK,20.0
2791872,CHSCO,30.0
4156439,NMI.,15.0
1444303,ATKR,20.0
2312858,DRETF,60.0
321902,TPRP,60.0
2249948,SN.,15.0
2589395,TCFC,40.0
1306143,FC,20.0
4371823,CDGLY,20.0
3839431,UCPA,50.0
3998858,CCW.,15.0
2521117,SMDZF,15.0
2459087,CBWTF,35.0
879625,RVVTF,35.0
360887,WTM,40.0
4459767,CNVVY,35.0
525346,MRD.,60.0
2641563,IFRTF,10.0
861371,BRG.PC,60.0
3829080,RIHC,45.0
4233355,ARGYF,10.0
2407149,BADFF,20.0
2031264,NRTH.,35.0
3194712,TRIL,35.0
640955,FGBDF,45.0
4302638,NOBGY,20.0
4340334,SLLDY,40.0
2469852,ERRCF,15.0
2541426,YSSCF,25.0
377431,ALTX,10.0
3696216,EHPTP,60.0
1519349,EUGFF,10.0
4273479,CWMCF,15.0
1845936,MTEM,35.0
2573633,CCB.,15.0
3226839,CVTPF,20.0
109932,EV,40.0
1904002,SAIL,45.0
3391523,ASPU,25.0
2330613,BICEY,20.0
4308149,GIGNY,25.0
2340905,JCYGY,25.0
3118440,CYRR,10.0
3260960,AMSF,40.0
1841006,DARE,35.0
2127731,AGF.B,40.0
2561473,APX.,15.0
4346284,RKUNY,25.0
1576274,ALL.PE,40.0
174489,ISCA,25.0
384970,EUSP,55.0
2772169,PPL.PR.C,10.0
166515,ITW,20.0
1799083,MJDLF,15.0
1989699,EXPFF,35.0
3010667,TSL.,15.0
2289131,TOTZF,10.0
4414853,LND,30.0
2107466,RICK,25.0
1920312,ICLK,50.0
1198725,SMTI,35.0
2768894,MATR,45.0
4439133,WYNMY,25.0
4333372,ACSAY,20.0
726865,LIQDQ,45.0
2205844,ELTK,45.0
2415123,NNGVF,15.0
3812518,MYOS,30.0
3970353,MMRGF,15.0
2780116,SLF.,40.0
3223933,MLN.,15.0
3227822,CVHL,40.0
2858404,VGN.,10.0
2588338,MDIN,35.0
690306,ASBFY,30.0
2510,WDDD,50.0
288516,MUX,15.0
3865900,LEON,40.0
3924799,PEB,60.0
807222,CSO.,15.0
3182743,EXLS,45.0
3137088,PRRSF,45.0
131158,USB.PP,40.0
2676716,HVYB,40.0
2957718,BOAA,35.0
1804451,IOM.,35.0
944474,GPLA.,50.0
2377158,BOSSY,25.0
2419386,IMA.,15.0
1292675,CBKC,25.0
2320259,RCKTF,15.0
2728513,INAPQ,45.0
161279,UBP,60.0
2979710,CME,40.0
3489074,SONA,40.0
1773954,SKVY,45.0
4340836,FOJCY,55.0
2770892,USA.,15.0
805305,ICC.,35.0
2116990,BGII,20.0
1308816,GTMAY,10.0
3673011,TPCS,20.0
3763482,TMD.,35.0
3700377,XIN,60.0
2406630,JAUGF,15.0
3949112,VUZI,25.0
3953345,VPY.,45.0
2662337,NOL.H,10.0
3870714,MVBY,25.0
2481577,VVC.,15.0
201542,MGA,25.0
593362,TD.PF.H,40.0
2406127,AVL.,15.0
4201933,OAK,40.0
3208595,VQS.,45.0
2460190,PLM,15.0
2112469,WAT,35.0
2165776,ARDMQ,35.0
354394,WGO,25.0
2383639,INGIY,45.0
3267686,PGNN,40.0
2145217,TNKY,10.0
4031867,MKRYF,10.0
0,AIR,20.0
214977,MSEX,55.0
1320737,SIM.,45.0
1785508,TRRSF,40.0
2485879,ARSC,45.0
2990612,KOYWF,15.0
4350285,AVAL,40.0
176707,ENB.PR.U,10.0
2882491,ATC.,15.0
3060553,LBBB,40.0
2585142,YZCAY,10.0
2254581,MMO.,10.0
273397,RTMAF,25.0
811467,KNBWY,30.0
3522298,GMVMF,15.0
4173535,LSC.,15.0
3971596,SUIC,25.0
2306838,GMGLF,15.0
1727286,EFOI,20.0
4076817,RLLY,25.0
4136448,BASA,15.0
139165,GIS,30.0
2898841,FIRT,40.0
1100545,AXTA,15.0
4188777,VTGN,35.0
3392276,BLONF,20.0
1524090,SHASF,10.0
2065220,FLWR.,35.0
784360,FPRX,35.0
2967460,ACM,20.0
1787516,SSTI,45.0
2130754,APT,20.0
2320567,CTBK,40.0
3050186,CSBK,40.0
4396477,CIADY,30.0
758989,AGIO,35.0
898588,JD,25.0
2890538,BTHI,40.0
3389153,VCOM.,60.0
4419060,EVTZF,45.0
3580833,CIU.PR.C,55.0
1568555,AZNCF,35.0
3624434,TTXP,15.0
2416131,HNCKF,15.0
3432908,INWK,20.0
2917574,NTUS,35.0
1236498,RAY.A,50.0
4332870,PBR.A,10.0
2318182,CARSO,40.0
2472201,CD.,15.0
3763733,TMD.WT.C,35.0
3692423,LGHT,40.0
2933320,NMPWP,55.0
1912088,SFIX,25.0
3383861,ASGOF,15.0
1831494,BBCP,20.0
643614,HOWWY,20.0
1404845,NBGV.1,20.0
3892040,STWD,40.0
4362854,NRILY,45.0
1117220,SPQS,50.0
1234741,LBCC,30.0
2869617,SNV.,10.0
3431526,FHAI,35.0
1263939,EDIG,45.0
3293992,URCFF,15.0
2658694,ATMO,20.0
3025356,DBMM,50.0
2336310,NPNYY,20.0
1765229,ROSEW,10.0
2087437,HA,20.0
3309496,ITCC,45.0
3758540,IPI,15.0
825263,AMRX,35.0
4104220,RTG.,15.0
